"REF_DATE","GEO","DGUID","Rates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007-10-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-10-31","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-11-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-11-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-11-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-11-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-12-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-12-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-12-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-12-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2008-01-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2008-01-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2008-01-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2008-01-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2008-01-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2008-02-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2008-02-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2008-02-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2008-02-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2008-03-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2008-03-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2008-03-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2008-03-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2008-04-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2008-04-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2008-04-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2008-04-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-04-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-05-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-05-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-05-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-05-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-06-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-06-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-06-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-06-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-07-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-07-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-07-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-07-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-07-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-08-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-08-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-08-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-08-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-09-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-09-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-09-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-09-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-10-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-10-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.75","","","","2"
"2008-10-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.75","","","","2"
"2008-10-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.50","","","","2"
"2008-10-29","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.50","","","","2"
"2008-11-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.50","","","","2"
"2008-11-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.50","","","","2"
"2008-11-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.50","","","","2"
"2008-11-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.50","","","","2"
"2008-12-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.50","","","","2"
"2008-12-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","1.75","","","","2"
"2008-12-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","1.75","","","","2"
"2008-12-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","1.75","","","","2"
"2008-12-31","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","1.75","","","","2"
"2009-01-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","1.75","","","","2"
"2009-01-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","1.75","","","","2"
"2009-01-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","1.25","","","","2"
"2009-01-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","1.25","","","","2"
"2009-02-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","1.25","","","","2"
"2009-02-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","1.25","","","","2"
"2009-02-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","1.25","","","","2"
"2009-02-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","1.25","","","","2"
"2009-03-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.75","","","","2"
"2009-03-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.75","","","","2"
"2009-03-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.75","","","","2"
"2009-03-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.75","","","","2"
"2009-04-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.75","","","","2"
"2009-04-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.75","","","","2"
"2009-04-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.75","","","","2"
"2009-04-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-04-29","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-05-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-05-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-05-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-05-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-06-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-06-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-06-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-06-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-07-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-07-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-07-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-07-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-07-29","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-08-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-08-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-08-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-08-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-09-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-09-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-09-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-09-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-09-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-10-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-10-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-10-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-10-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-11-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-11-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-11-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-11-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-12-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-12-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-12-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-12-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2009-12-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2010-01-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2010-01-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2010-01-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2010-01-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2010-02-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2010-02-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2010-02-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2010-02-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2010-03-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2010-03-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2010-03-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2010-03-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
"2010-03-31","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","0.50","","","","2"
